id,ticker,asset_type,signal,confidence,entry_date,entry_price,exit_date,exit_price,pnl_pct,correct,evaluated,is_demo
6861f470,AAPL,stock,BUY,9,2026-02-04T00:00:00+00:00,276.2315,2026-02-05,275.6521,-0.2098,False,True,True
2f80a94e,AMD,stock,SELL,6,2026-02-04T00:00:00+00:00,200.19,2026-02-05,192.5,3.8414,True,True,True
6cab49d1,BTC,crypto,BUY,6,2026-02-04T00:00:00+00:00,73019.7031,2026-02-05,62702.0977,-14.1299,False,True,True
82da014b,SOL,crypto,SELL,6,2026-02-04T00:00:00+00:00,92.0293,2026-02-05,78.1874,15.0408,True,True,True
42a9f84c,BNB,crypto,SELL,7,2026-02-04T00:00:00+00:00,697.8618,2026-02-05,606.5428,13.0855,True,True,True
8c451950,XRP,crypto,BUY,9,2026-02-04T00:00:00+00:00,1.5105,2026-02-05,1.2135,-19.6624,False,True,True
502267b7,NVDA,stock,SELL,7,2026-02-05T00:00:00+00:00,171.8707,2026-02-06,185.4,-7.8718,False,True,True
834372e1,AMD,stock,BUY,6,2026-02-05T00:00:00+00:00,192.5,2026-02-06,208.44,8.2805,True,True,True
ac271782,ETH,crypto,SELL,7,2026-02-05T00:00:00+00:00,1821.6831,2026-02-06,2063.387,-13.2682,False,True,True
a3cbb251,BNB,crypto,BUY,10,2026-02-05T00:00:00+00:00,606.5428,2026-02-06,657.4215,8.3883,True,True,True
58f41e51,XRP,crypto,SELL,7,2026-02-05T00:00:00+00:00,1.2135,2026-02-06,1.4715,-21.2608,False,True,True
8e460306,AAPL,stock,BUY,8,2026-02-06T00:00:00+00:00,277.86,2026-02-07,274.62,-1.1661,False,True,True
88eb3e2f,NVDA,stock,BUY,8,2026-02-06T00:00:00+00:00,185.4,2026-02-07,190.0297,2.4971,True,True,True
a03cba3a,TSLA,stock,BUY,9,2026-02-06T00:00:00+00:00,411.11,2026-02-07,417.32,1.5105,True,True,True
c11f6825,MSFT,stock,BUY,7,2026-02-06T00:00:00+00:00,400.2265,2026-02-07,412.6581,3.1061,True,True,True
25d36a31,AMD,stock,BUY,6,2026-02-06T00:00:00+00:00,208.44,2026-02-07,216.0,3.6269,True,True,True
be5f401b,BTC,crypto,SELL,7,2026-02-06T00:00:00+00:00,70555.3906,2026-02-07,69281.9688,1.8049,True,True,True
113eb17e,ETH,crypto,SELL,6,2026-02-06T00:00:00+00:00,2063.387,2026-02-07,2090.5493,-1.3164,False,True,True
9af6a911,SOL,crypto,SELL,9,2026-02-06T00:00:00+00:00,87.4648,2026-02-07,87.6398,-0.2001,False,True,True
ed1e3002,XRP,crypto,SELL,8,2026-02-06T00:00:00+00:00,1.4715,2026-02-07,1.4242,3.2144,True,True,True
0500ff02,NVDA,stock,BUY,7,2026-02-07T00:00:00+00:00,190.0297,2026-02-08,190.0297,0.0,False,True,True
a57591ad,MSFT,stock,BUY,6,2026-02-07T00:00:00+00:00,412.6581,2026-02-08,412.6581,0.0,False,True,True
0f9ed173,AMD,stock,SELL,9,2026-02-07T00:00:00+00:00,216.0,2026-02-08,216.0,-0.0,False,True,True
9800f57d,BTC,crypto,SELL,8,2026-02-07T00:00:00+00:00,69281.9688,2026-02-08,70264.7266,-1.4185,False,True,True
7a3739c4,ETH,crypto,SELL,8,2026-02-07T00:00:00+00:00,2090.5493,2026-02-08,2088.7629,0.0855,True,True,True
1145fd8d,XRP,crypto,BUY,9,2026-02-07T00:00:00+00:00,1.4242,2026-02-08,1.4322,0.5617,True,True,True
804c9f0b,AAPL,stock,SELL,7,2026-02-08T00:00:00+00:00,274.62,2026-02-09,274.62,-0.0,False,True,True
68387f29,TSLA,stock,SELL,8,2026-02-08T00:00:00+00:00,417.32,2026-02-09,417.32,-0.0,False,True,True
04654ba2,MSFT,stock,BUY,6,2026-02-08T00:00:00+00:00,412.6581,2026-02-09,412.6581,0.0,False,True,True
4c95a64d,BTC,crypto,SELL,6,2026-02-08T00:00:00+00:00,70264.7266,2026-02-09,70120.7812,0.2049,True,True,True
59de7ac7,ETH,crypto,BUY,8,2026-02-08T00:00:00+00:00,2088.7629,2026-02-09,2103.5676,0.7088,True,True,True
9fbe221d,SOL,crypto,BUY,8,2026-02-08T00:00:00+00:00,87.0441,2026-02-09,86.7018,-0.3932,False,True,True
626bbf72,XRP,crypto,BUY,9,2026-02-08T00:00:00+00:00,1.4322,2026-02-09,1.4361,0.2723,True,True,True
fb6b6dc5,AAPL,stock,BUY,7,2026-02-09T00:00:00+00:00,274.62,2026-02-10,273.68,-0.3423,False,True,True
73be4457,NVDA,stock,SELL,9,2026-02-09T00:00:00+00:00,190.0297,2026-02-10,188.5298,0.7893,True,True,True
ab26766d,MSFT,stock,BUY,8,2026-02-09T00:00:00+00:00,412.6581,2026-02-10,412.3289,-0.0798,False,True,True
b8486cd4,BTC,crypto,SELL,8,2026-02-09T00:00:00+00:00,70120.7812,2026-02-10,68793.9609,1.8922,True,True,True
fc740966,SOL,crypto,BUY,8,2026-02-09T00:00:00+00:00,86.7018,2026-02-10,82.9155,-4.367,False,True,True
c70fa2f9,BNB,crypto,SELL,10,2026-02-09T00:00:00+00:00,635.9545,2026-02-10,619.5703,2.5763,True,True,True
6610b7e2,XRP,crypto,BUY,6,2026-02-09T00:00:00+00:00,1.4361,2026-02-10,1.3995,-2.5486,False,True,True
6872ac2d,AAPL,stock,BUY,7,2026-02-10T00:00:00+00:00,273.68,2026-02-11,275.5,0.665,True,True,True
24b989eb,TSLA,stock,BUY,6,2026-02-10T00:00:00+00:00,425.21,2026-02-11,428.27,0.7196,True,True,True
e0890330,MSFT,stock,BUY,10,2026-02-10T00:00:00+00:00,412.3289,2026-02-11,403.4491,-2.1536,False,True,True
dcacf173,AMD,stock,BUY,6,2026-02-10T00:00:00+00:00,213.57,2026-02-11,213.58,0.0047,True,True,True
efd5b9e5,BTC,crypto,SELL,6,2026-02-10T00:00:00+00:00,68793.9609,2026-02-11,66991.9688,2.6194,True,True,True
d9d339f7,ETH,crypto,SELL,7,2026-02-10T00:00:00+00:00,2019.4974,2026-02-11,1940.6213,3.9057,True,True,True
bb99ecc6,BNB,crypto,SELL,8,2026-02-10T00:00:00+00:00,619.5703,2026-02-11,607.1871,1.9987,True,True,True
32c80903,XRP,crypto,BUY,10,2026-02-10T00:00:00+00:00,1.3995,2026-02-11,1.368,-2.2508,False,True,True
258e25c0,AAPL,stock,BUY,9,2026-02-11T00:00:00+00:00,275.5,2026-02-12,261.73,-4.9982,False,True,True
4a5faee1,NVDA,stock,BUY,7,2026-02-11T00:00:00+00:00,190.0397,2026-02-12,186.9299,-1.6364,False,True,True
41f5e0ef,TSLA,stock,SELL,8,2026-02-11T00:00:00+00:00,428.27,2026-02-12,417.07,2.6152,True,True,True
51f071d9,MSFT,stock,BUY,6,2026-02-11T00:00:00+00:00,403.4491,2026-02-12,400.9249,-0.6257,False,True,True
721dd031,AMD,stock,BUY,6,2026-02-11T00:00:00+00:00,213.58,2026-02-12,205.94,-3.5771,False,True,True
645e4add,ETH,crypto,SELL,7,2026-02-11T00:00:00+00:00,1940.6213,2026-02-12,1946.9407,-0.3256,False,True,True
6d6c3358,SOL,crypto,BUY,8,2026-02-11T00:00:00+00:00,79.2542,2026-02-12,78.3484,-1.1429,False,True,True
cf7cf1ad,BNB,crypto,SELL,8,2026-02-11T00:00:00+00:00,607.1871,2026-02-12,613.7109,-1.0744,False,True,True
2d6c6f95,AAPL,stock,BUY,6,2026-02-12T00:00:00+00:00,261.73,2026-02-13,255.78,-2.2733,False,True,True
2d30eb50,TSLA,stock,BUY,7,2026-02-12T00:00:00+00:00,417.07,2026-02-13,417.44,0.0887,True,True,True
15e909ca,MSFT,stock,BUY,8,2026-02-12T00:00:00+00:00,400.9249,2026-02-13,400.4061,-0.1294,False,True,True
5a212c4b,AMD,stock,BUY,6,2026-02-12T00:00:00+00:00,205.94,2026-02-13,207.32,0.6701,True,True,True
e2af4f56,BTC,crypto,BUY,7,2026-02-12T00:00:00+00:00,66221.8438,2026-02-13,68857.8438,3.9806,True,True,True
2f226b28,SOL,crypto,BUY,6,2026-02-12T00:00:00+00:00,78.3484,2026-02-13,84.3225,7.625,True,True,True
ee677cd8,BNB,crypto,BUY,7,2026-02-12T00:00:00+00:00,613.7109,2026-02-13,619.0839,0.8755,True,True,True
698bb3e5,XRP,crypto,SELL,6,2026-02-12T00:00:00+00:00,1.3621,2026-02-13,1.4075,-3.3331,False,True,True
edd3b9a6,AAPL,stock,SELL,9,2026-02-13T00:00:00+00:00,255.78,2026-02-14,263.88,-3.1668,False,True,True
68d721c3,NVDA,stock,BUY,6,2026-02-13T00:00:00+00:00,182.8001,2026-02-14,184.96,1.1816,True,True,True
7eea9ef8,TSLA,stock,BUY,9,2026-02-13T00:00:00+00:00,417.44,2026-02-14,410.63,-1.6314,False,True,True
bcc39ad2,MSFT,stock,BUY,7,2026-02-13T00:00:00+00:00,400.4061,2026-02-14,395.9562,-1.1113,False,True,True
be3974c3,AMD,stock,BUY,10,2026-02-13T00:00:00+00:00,207.32,2026-02-14,203.08,-2.0451,False,True,True
47a4879b,BTC,crypto,BUY,7,2026-02-13T00:00:00+00:00,68857.8438,2026-02-14,69767.625,1.3212,True,True,True
706a7d2c,ETH,crypto,SELL,8,2026-02-13T00:00:00+00:00,2048.5273,2026-02-14,2086.0098,-1.8297,False,True,True
b77726bc,SOL,crypto,BUY,7,2026-02-13T00:00:00+00:00,84.3225,2026-02-14,88.1608,4.5519,True,True,True
3d1a11b4,BNB,crypto,SELL,9,2026-02-13T00:00:00+00:00,619.0839,2026-02-14,633.3452,-2.3036,False,True,True
e084e34d,AAPL,stock,BUY,8,2026-02-14T00:00:00+00:00,263.88,2026-02-15,263.88,0.0,False,True,True
129625dd,NVDA,stock,SELL,6,2026-02-14T00:00:00+00:00,184.96,2026-02-15,184.96,-0.0,False,True,True
7cc9472c,TSLA,stock,BUY,9,2026-02-14T00:00:00+00:00,410.63,2026-02-15,410.63,0.0,False,True,True
2fde0ff8,BTC,crypto,BUY,6,2026-02-14T00:00:00+00:00,69767.625,2026-02-15,68788.1875,-1.4039,False,True,True
b76f17f0,ETH,crypto,BUY,8,2026-02-14T00:00:00+00:00,2086.0098,2026-02-15,1966.043,-5.751,False,True,True
d6740f1a,XRP,crypto,SELL,8,2026-02-14T00:00:00+00:00,1.51,2026-02-15,1.4749,2.3245,True,True,True
a0488ad1,AAPL,stock,BUY,8,2026-02-15T00:00:00+00:00,263.88,2026-02-16,263.88,0.0,False,True,True
97612aa1,NVDA,stock,BUY,7,2026-02-15T00:00:00+00:00,184.96,2026-02-16,184.96,0.0,False,True,True
1df9eaf9,TSLA,stock,BUY,8,2026-02-15T00:00:00+00:00,410.63,2026-02-16,410.63,0.0,False,True,True
f77015b4,MSFT,stock,BUY,6,2026-02-15T00:00:00+00:00,395.9562,2026-02-16,395.9562,0.0,False,True,True
be6cb649,AMD,stock,SELL,10,2026-02-15T00:00:00+00:00,203.08,2026-02-16,203.08,-0.0,False,True,True
691420e7,BNB,crypto,BUY,9,2026-02-15T00:00:00+00:00,614.638,2026-02-16,626.5707,1.9414,True,True,True
f9230abd,XRP,crypto,BUY,7,2026-02-15T00:00:00+00:00,1.4749,2026-02-16,1.4867,0.8001,True,True,True
2f757bda,AAPL,stock,BUY,8,2026-02-16T00:00:00+00:00,263.88,2026-02-17,263.88,0.0,False,True,True
669d26ed,NVDA,stock,SELL,8,2026-02-16T00:00:00+00:00,184.96,2026-02-17,184.96,-0.0,False,True,True
c02a6dda,TSLA,stock,SELL,7,2026-02-16T00:00:00+00:00,410.63,2026-02-17,410.63,-0.0,False,True,True
75b7e1fd,MSFT,stock,BUY,7,2026-02-16T00:00:00+00:00,395.9562,2026-02-17,395.9562,0.0,False,True,True
14b3b338,AMD,stock,SELL,8,2026-02-16T00:00:00+00:00,203.08,2026-02-17,203.08,-0.0,False,True,True
bf9b7f22,ETH,crypto,SELL,7,2026-02-16T00:00:00+00:00,1997.9177,2026-02-17,1992.1943,0.2865,True,True,True
d7c545dd,SOL,crypto,BUY,8,2026-02-16T00:00:00+00:00,86.4288,2026-02-17,85.1976,-1.4245,False,True,True
b7bae571,XRP,crypto,BUY,6,2026-02-16T00:00:00+00:00,1.4867,2026-02-17,1.4744,-0.8273,False,True,True
d65a39b6,AAPL,stock,BUY,6,2026-02-17T00:00:00+00:00,263.88,2026-02-18,264.35,0.1781,True,True,True
45c6e2ca,NVDA,stock,BUY,8,2026-02-17T00:00:00+00:00,184.96,2026-02-18,187.9698,1.6273,True,True,True
7e5851cd,MSFT,stock,SELL,9,2026-02-17T00:00:00+00:00,395.9562,2026-02-18,398.69,-0.6904,False,True,True
3b6ec8b7,AMD,stock,BUY,6,2026-02-17T00:00:00+00:00,203.08,2026-02-18,200.12,-1.4576,False,True,True
c0943351,BTC,crypto,BUY,8,2026-02-17T00:00:00+00:00,67494.2188,2026-02-18,66425.3203,-1.5837,False,True,True
c2c2cb63,ETH,crypto,SELL,8,2026-02-17T00:00:00+00:00,1992.1943,2026-02-18,1953.9741,1.9185,True,True,True
dc394da5,SOL,crypto,BUY,7,2026-02-17T00:00:00+00:00,85.1976,2026-02-18,81.5669,-4.2615,False,True,True
7c05dbcc,BNB,crypto,BUY,9,2026-02-17T00:00:00+00:00,617.5621,2026-02-18,604.5238,-2.1113,False,True,True
c0d5103a,TSLA,stock,BUY,10,2026-02-18T00:00:00+00:00,411.32,2026-02-19,411.71,0.0948,True,True,True
7f06178c,MSFT,stock,BUY,9,2026-02-18T00:00:00+00:00,398.69,2026-02-19,398.46,-0.0577,False,True,True
4aea5a52,AMD,stock,BUY,9,2026-02-18T00:00:00+00:00,200.12,2026-02-19,203.37,1.624,True,True,True
ac33c6c2,ETH,crypto,BUY,9,2026-02-18T00:00:00+00:00,1953.9741,2026-02-19,1948.201,-0.2955,False,True,True
755fe191,SOL,crypto,SELL,9,2026-02-18T00:00:00+00:00,81.5669,2026-02-19,82.3932,-1.013,False,True,True
cde0265c,BNB,crypto,BUY,6,2026-02-18T00:00:00+00:00,604.5238,2026-02-19,607.1599,0.4361,True,True,True
39274698,XRP,crypto,BUY,9,2026-02-18T00:00:00+00:00,1.4216,2026-02-19,1.4064,-1.0692,False,True,True
6b0b0d98,AAPL,stock,BUY,6,2026-02-19T00:00:00+00:00,260.58,2026-02-20,264.58,1.535,True,True,True
eec72ed5,NVDA,stock,BUY,7,2026-02-19T00:00:00+00:00,187.8898,2026-02-20,189.8097,1.0218,True,True,True
56500bb7,TSLA,stock,BUY,7,2026-02-19T00:00:00+00:00,411.71,2026-02-20,411.82,0.0267,True,True,True
ddb5bc8a,MSFT,stock,BUY,7,2026-02-19T00:00:00+00:00,398.46,2026-02-20,397.23,-0.3087,False,True,True
7a7a9209,AMD,stock,BUY,7,2026-02-19T00:00:00+00:00,203.37,2026-02-20,200.15,-1.5833,False,True,True
8b8179e5,BTC,crypto,SELL,10,2026-02-19T00:00:00+00:00,66957.5234,2026-02-20,68005.4219,-1.565,False,True,True
1d3e5c0c,ETH,crypto,BUY,6,2026-02-19T00:00:00+00:00,1948.201,2026-02-20,1969.0223,1.0687,True,True,True
8c281aa9,SOL,crypto,BUY,8,2026-02-19T00:00:00+00:00,82.3932,2026-02-20,84.6351,2.721,True,True,True
51a7bec5,BNB,crypto,BUY,6,2026-02-19T00:00:00+00:00,607.1599,2026-02-20,625.6635,3.0476,True,True,True
d44ecae3,XRP,crypto,SELL,9,2026-02-19T00:00:00+00:00,1.4064,2026-02-20,1.4294,-1.6354,False,True,True
e15f6f01,AAPL,stock,SELL,6,2026-02-20T00:00:00+00:00,264.58,2026-02-21,266.18,-0.6047,False,True,True
db40e887,NVDA,stock,BUY,7,2026-02-20T00:00:00+00:00,189.8097,2026-02-21,191.5396,0.9114,True,True,True
bb3acd9f,TSLA,stock,BUY,8,2026-02-20T00:00:00+00:00,411.82,2026-02-21,399.83,-2.9115,False,True,True
e0e75240,MSFT,stock,SELL,9,2026-02-20T00:00:00+00:00,397.23,2026-02-21,384.47,3.2122,True,True,True
99d7f1b1,AMD,stock,SELL,6,2026-02-20T00:00:00+00:00,200.15,2026-02-21,196.6,1.7737,True,True,True
ef16fabe,BTC,crypto,SELL,10,2026-02-20T00:00:00+00:00,68005.4219,2026-02-21,68003.7656,0.0024,True,True,True
5f5a9ad9,ETH,crypto,SELL,9,2026-02-20T00:00:00+00:00,1969.0223,2026-02-21,1973.7372,-0.2395,False,True,True
70aaab3d,SOL,crypto,BUY,8,2026-02-20T00:00:00+00:00,84.6351,2026-02-21,85.2111,0.6806,True,True,True
aef183b9,BNB,crypto,BUY,7,2026-02-20T00:00:00+00:00,625.6635,2026-02-21,625.8981,0.0375,True,True,True
